調酒名稱,酸甜,濃度,酒感,基酒-1,基酒-2,基酒-3,基酒-4,氣泡,圖片位置
中國藍(China blue),甜,低,沒有酒感,伏特加,,,,要,1
螺絲起子(Screwdriver),甜,低,沒有酒感,伏特加,,,,不要,2
自由古巴(Rum Coke),甜,低,沒有酒感,蘭姆酒,,,,要,3
威士忌可樂(whiskey coke),甜,低,沒有酒感,威士忌,,,,要,4
龍舌蘭日出(tequila sunrise),甜,低,沒有酒感,龍舌蘭,,,,不要,5
馬頸( Horse's Neck),甜,低,沒有酒感,白蘭地,,,,要,6
Gin Buck,甜,低,微微酒感,琴酒,,,,要,7
Gin tonic,甜,低,微微酒感,琴酒,,,,要,8
野格炸彈(Jägerbomb),甜,低,沒有酒感,野格,,,,要,9
鹹狗(Salty Dog),甜,低,沒有酒感,伏特加,,,,不要,10
Pina Colada,甜,低,沒有酒感,蘭姆酒,,,,不要,11
Mojito,甜,低,沒有酒感,蘭姆酒,,,,不要,12
Moscow Mule,甜,低,沒有酒感,蘭姆酒,,,,不要,13
亞歷山大(Alexander),甜,低,沒有酒感,琴酒,,,,不要,14
白色俄羅斯,甜,低,沒有酒感,伏特加,,,,不要,15
新加坡司令,甜,低,沒有酒感,琴酒,,,,不要,16
邁泰,甜,中,沒有酒感,蘭姆酒,,,,不要,17
性感沙灘,甜,中,沒有酒感,伏特加,,,,不要,18
長島冰茶,甜,高,微微酒感,蘭姆酒,琴酒,龍舌蘭,伏特加,不要,19
東京冰茶,甜,高,沒有酒感,伏特加,蘭姆酒,琴酒,,不要,20
環遊世界,甜,高,微微酒感,伏特加,蘭姆酒,琴酒,,不要,21
尼格羅尼,甜,高,酒感重,琴酒,,,,不要,22
Old fashioned,甜,高,酒感重,威士忌,,,,不要,23
教父,甜,高,酒感重,威士忌,,,,不要,24
鏽丁,甜,高,酒感重,威士忌,,,,不要,25
毒刺,甜,高,酒感重,白蘭地,,,,不要,26
咖啡馬丁尼,甜,高,微微酒感,伏特加,,,,不要,27
花花公子(Boulevardier),甜,高,酒感重,威士忌,,,,不要,28
黑色俄羅斯,甜,高,酒感重,伏特加,,,,不要,29
法蘭西集團,甜,高,酒感重,白蘭地,,,,不要,30
殭屍,甜,高,沒有酒感,,,,,不要,31
Ginlet,酸,低,微微酒感,琴酒,,,,不要,32
GinFizz,酸,低,微微酒感,琴酒,,,,不要,33
Daiquiri,酸,低,微微酒感,蘭姆酒,,,,不要,34
Vodka Lime,酸,低,微微酒感,伏特加,,,,不要,35
Cosmopolitan,酸,低,微微酒感,伏特加,,,,不要,36
Whisky Sour,酸,低,微微酒感,威士忌,,,,不要,37
三葉草俱樂部,酸,低,沒有酒感,琴酒,,,,不要,38
Ramos giin fizz,酸,低,沒有酒感,琴酒,,,,不要,39
White Lady,酸,中,微微酒感,琴酒,,,,不要,40
X.Y.Z,酸,中,微微酒感,蘭姆酒,,,,不要,41
Magerita,酸,中,微微酒感,龍舌蘭,,,,不要,42
Kamikaze,酸,中,微微酒感,伏特加,,,,不要,43
Side Car,酸,中,微微酒感,白蘭地,,,,不要,44
飛行(Aviation),酸,高,酒感重,琴酒,,,,不要,45
亡者復甦二號(Corpse Reviver#2),酸,高,酒感重,琴酒,,,,不要,46
High ball,甜,低,微微酒感,威士忌,,,,要,47
血腥瑪麗,甜,低,沒有酒感,伏特加,,,,不要,48
馬丁尼(Martini),甜,高,酒感重,琴酒,,,,不要,49
Vasper,甜,高,酒感重,伏特加,琴酒,,,不要,50
曼哈頓(Manhattan),甜,高,酒感重,威士忌,,,,不要,51
盤尼西林,酸,中,微微酒感,威士忌,,,,不要,52
